iter	RMSE
0	46.21253149
1	45.48194694
2	44.75494413
3	44.05592654
4	43.41569401
5	42.77770076
6	42.18365816
7	41.61529716
8	41.05410336
9	40.515252
10	39.9990041
11	39.50733638
12	39.06055432
13	38.61142816
14	38.18808883
15	37.77568397
16	37.38140307
17	37.01467231
18	36.65617173
19	36.3172497
20	35.99220935
21	35.69037954
22	35.3889315
23	35.10162357
24	34.82276291
25	34.5716231
26	34.31389929
27	34.07517527
28	33.84491193
29	33.61992397
30	33.40091296
31	33.1842836
32	32.98127872
33	32.79545722
34	32.61403965
35	32.44461458
36	32.28294822
37	32.13623659
38	31.99531439
39	31.85257752
40	31.71263956
41	31.57736693
42	31.4499736
43	31.3256908
44	31.21352151
45	31.10493604
46	30.99640951
47	30.86633333
48	30.75945945
49	30.65174139
50	30.56120346
51	30.4711802
52	30.38204981
53	30.28833354
54	30.20665231
55	30.12520817
56	30.05294968
57	29.98563292
58	29.91774501
59	29.84919172
60	29.77034383
61	29.708427
62	29.63500503
63	29.57615556
64	29.49883139
65	29.42821281
66	29.36645248
67	29.30151184
68	29.24903897
69	29.19609124
70	29.14738678
71	29.09665182
72	29.04092698
73	29.00054557
74	28.95319155
75	28.9108896
76	28.86952424
77	28.82953719
78	28.79327221
79	28.7582896
80	28.71598425
81	28.6797272
82	28.64867411
83	28.6030638
84	28.56336059
85	28.52958449
86	28.50043112
87	28.47305848
88	28.44318783
89	28.41629698
90	28.38797419
91	28.35283587
92	28.32121315
93	28.29420156
94	28.26517942
95	28.24240931
96	28.21623288
97	28.19439563
98	28.1666728
99	28.13705596
100	28.10864922
101	28.07839174
102	28.05727427
103	28.03479656
104	28.01364509
105	27.98835894
106	27.96119282
107	27.940795
108	27.92254719
109	27.90144401
110	27.88384576
111	27.85564693
112	27.83500245
113	27.8164136
114	27.78864823
115	27.76936095
116	27.75319711
117	27.73386237
118	27.71675864
119	27.69796803
120	27.68448483
121	27.65724539
122	27.63907493
123	27.61979153
124	27.60832257
125	27.59197977
126	27.56476094
127	27.55011757
128	27.53504192
129	27.5179927
130	27.50319111
131	27.47780913
132	27.44997436
133	27.43693776
134	27.42135639
135	27.40837579
136	27.39779824
137	27.37541762
138	27.36548197
139	27.34042024
140	27.31755519
141	27.29365265
142	27.28466126
143	27.27459654
144	27.26318931
145	27.23964499
146	27.23005393
147	27.21803099
148	27.20829712
149	27.18799782
150	27.17162331
151	27.15988567
152	27.13904193
153	27.13273386
154	27.11764852
155	27.10682605
156	27.09698316
157	27.08523944
158	27.06953867
159	27.06121908
160	27.04765379
161	27.02924621
162	27.01706931
163	27.00546922
164	26.99484877
165	26.98293439
166	26.9716575
167	26.96313717
168	26.94345416
169	26.92651367
170	26.91178721
171	26.90267485
172	26.89361161
173	26.88151655
174	26.87304887
175	26.86169513
176	26.85282162
177	26.83994536
178	26.8294109
179	26.81583604
180	26.80590019
181	26.7957064
182	26.78547654
183	26.77894579
184	26.75821679
185	26.74607861
186	26.73503696
187	26.72605657
188	26.70802798
189	26.695014
190	26.68816402
191	26.68015078
192	26.66632415
193	26.65561449
194	26.64586863
195	26.63969091
196	26.63017513
197	26.61443493
198	26.59713154
199	26.58449954
200	26.57720771
201	26.57027142
202	26.5610002
203	26.55358135
204	26.54214582
205	26.53225214
206	26.5179469
207	26.50893704
208	26.49535734
209	26.48737933
210	26.47923463
211	26.46940237
212	26.46034708
213	26.44368963
214	26.42999421
215	26.41701896
216	26.4025228
217	26.39017661
218	26.38462223
219	26.37538861
220	26.36630119
221	26.35975391
222	26.34571342
223	26.33303925
224	26.32316961
225	26.31597174
226	26.3068784
227	26.29243728
228	26.27658927
229	26.27291304
230	26.26150495
231	26.24579135
232	26.2399654
233	26.23264343
234	26.22272707
235	26.20740922
236	26.19823534
237	26.19136281
238	26.18121926
239	26.17481477
240	26.16882272
241	26.1618875
242	26.15613915
243	26.15012121
244	26.13883806
245	26.1234169
246	26.11333594
247	26.10516183
248	26.0954126
249	26.09054408
250	26.07242694
251	26.06709016
252	26.05881182
253	26.04533709
254	26.04137079
255	26.03559693
256	26.02903231
257	26.023341
258	26.01818989
259	26.01065358
260	26.00141666
261	25.9931488
262	25.98464376
263	25.97966455
264	25.97019753
265	25.96327401
266	25.95310719
267	25.94825222
268	25.93878588
269	25.93090399
270	25.92655832
271	25.91439642
272	25.89799812
273	25.88811641
274	25.87993694
275	25.87668208
276	25.86607876
277	25.86213423
278	25.85378429
279	25.84020934
280	25.83338732
281	25.82507404
282	25.81601647
283	25.80527337
284	25.79869446
285	25.78767638
286	25.78092036
287	25.76871204
288	25.76211936
289	25.75197944
290	25.74552705
291	25.73771344
292	25.72949192
293	25.72639882
294	25.72068677
295	25.70446874
296	25.69969794
297	25.69099854
298	25.68444929
299	25.67995579
300	25.67205777
301	25.66702734
302	25.66159656
303	25.6591394
304	25.6526519
305	25.647015
306	25.64112389
307	25.63678905
308	25.63305104
309	25.6260991
310	25.61503395
311	25.60963377
312	25.60339877
313	25.58902351
314	25.58197292
315	25.57425153
316	25.56920396
317	25.56265027
318	25.55875027
319	25.55532527
320	25.54921962
321	25.54243627
322	25.53320663
323	25.52801018
324	25.51590761
325	25.5097288
326	25.50467064
327	25.4951178
328	25.48855828
329	25.48061467
330	25.47046235
331	25.46461442
332	25.45854832
333	25.44948385
334	25.4450266
335	25.43722296
336	25.43204271
337	25.42481256
338	25.41796677
339	25.40944936
340	25.40149764
341	25.39195394
342	25.384575
343	25.37662522
344	25.37131059
345	25.35998581
346	25.3522849
347	25.34706397
348	25.34029377
349	25.33023583
350	25.32645032
351	25.31351805
352	25.30698931
353	25.30077021
354	25.2956251
355	25.2880143
356	25.27483093
357	25.26930819
358	25.2651284
359	25.25593941
360	25.25067876
361	25.24773492
362	25.23789323
363	25.23265742
364	25.22826788
365	25.22352632
366	25.2159905
367	25.20984122
368	25.20366163
369	25.19361208
370	25.18578554
371	25.18038736
372	25.17521649
373	25.16520077
374	25.15857447
375	25.15289361
376	25.14803384
377	25.14465802
378	25.13863774
379	25.13252369
380	25.12542373
381	25.11987225
382	25.11422707
383	25.10820469
384	25.10134244
385	25.09144699
386	25.08551098
387	25.07919153
388	25.07265854
389	25.06154826
390	25.05682536
391	25.04606226
392	25.04038667
393	25.03318287
394	25.02940495
395	25.02406306
396	25.02070047
397	25.01266994
398	25.0078947
399	25.0043535
400	24.99850012
401	24.99485783
402	24.98838474
403	24.98148951
404	24.97599898
405	24.96921109
406	24.96328322
407	24.95846894
408	24.94801112
409	24.94199245
410	24.93307363
411	24.92949961
412	24.92326213
413	24.91625958
414	24.91045552
415	24.90518061
416	24.89938596
417	24.89520017
418	24.88963748
419	24.88533662
420	24.88045708
421	24.87238955
422	24.86654155
423	24.86324945
424	24.85635273
425	24.85233761
426	24.84780022
427	24.84451642
428	24.84033289
429	24.83706458
430	24.8325873
431	24.82861439
432	24.82074667
433	24.81816288
434	24.81530116
435	24.81212958
436	24.80533665
437	24.8012113
438	24.79382233
439	24.78967976
440	24.78663841
441	24.78230327
442	24.77956792
443	24.77679364
444	24.77065428
445	24.76378519
446	24.75769863
447	24.75005695
448	24.74044544
449	24.73738376
450	24.73170376
451	24.72887299
452	24.72593402
453	24.72316041
454	24.71791454
455	24.71430037
456	24.70995821
457	24.70484938
458	24.69930446
459	24.69229416
460	24.68290315
461	24.67532185
462	24.67188383
463	24.66479641
464	24.65794974
465	24.65369243
466	24.64975041
467	24.6446069
468	24.63806758
469	24.634345
470	24.62954112
471	24.62319018
472	24.61762836
473	24.61326795
474	24.60923494
475	24.60531838
476	24.59986351
477	24.59483623
478	24.59001799
479	24.5862533
480	24.57853627
481	24.57322249
482	24.56953846
483	24.56094568
484	24.55745549
485	24.55313762
486	24.54433226
487	24.54198734
488	24.53762707
489	24.53397728
490	24.52944865
491	24.52447233
492	24.51892312
493	24.51655197
494	24.51021186
