iter	Passed	Remaining
0	53	31934
1	70	21177
2	87	17420
3	104	15564
4	121	14442
5	137	13632
6	154	13076
7	170	12643
8	187	12302
9	204	12063
10	221	11851
11	238	11663
12	254	11480
13	270	11309
14	286	11181
15	303	11066
16	320	10990
17	337	10898
18	353	10823
19	370	10742
20	387	10689
21	404	10631
22	420	10549
23	437	10497
24	453	10425
25	469	10362
26	486	10322
27	503	10279
28	520	10242
29	537	10212
30	554	10179
31	570	10132
32	586	10084
33	604	10062
34	621	10029
35	637	9994
36	654	9964
37	670	9918
38	687	9887
39	703	9848
40	719	9812
41	735	9774
42	752	9742
43	768	9709
44	784	9678
45	800	9646
46	816	9611
47	833	9587
48	849	9554
49	866	9529
50	883	9512
51	900	9489
52	917	9468
53	936	9469
54	953	9445
55	969	9415
56	985	9391
57	1001	9359
58	1017	9331
59	1035	9317
60	1051	9294
61	1068	9269
62	1085	9248
63	1100	9218
64	1117	9197
65	1134	9175
66	1150	9156
67	1168	9141
68	1184	9118
69	1200	9092
70	1217	9068
71	1234	9052
72	1255	9063
73	1272	9047
74	1289	9025
75	1308	9019
76	1324	8998
77	1341	8979
78	1358	8961
79	1375	8942
80	1392	8922
81	1410	8910
82	1427	8891
83	1445	8876
84	1461	8855
85	1478	8835
86	1496	8823
87	1513	8804
88	1530	8787
89	1546	8765
90	1564	8749
91	1581	8732
92	1598	8714
93	1614	8692
94	1631	8671
95	1648	8653
96	1664	8633
97	1681	8613
98	1696	8587
99	1714	8571
100	1731	8555
101	1748	8536
102	1765	8517
103	1781	8495
104	1797	8472
105	1814	8457
106	1831	8440
107	1849	8423
108	1866	8409
109	1883	8391
110	1901	8374
111	1919	8363
112	1936	8347
113	1953	8328
114	1969	8307
115	1986	8288
116	2003	8269
117	2018	8246
118	2035	8227
119	2052	8210
120	2068	8186
121	2083	8164
122	2099	8142
123	2115	8121
124	2130	8097
125	2147	8077
126	2163	8058
127	2179	8037
128	2195	8017
129	2212	7997
130	2228	7977
131	2244	7957
132	2260	7937
133	2277	7919
134	2293	7900
